sd_over_Delta,U_mean,U_sd,U_min,U_max,U_pred_convolution,U_pred_curvature,U_pred_phase,sd_finiteN_pred,resid_meas_minus_conv,frac_T4_defined,frac_T4_defined_frozen_lattice,focal_m_min_mean,focal_m_end_mean,eps_at_min_mean,db_offset_post,db_shape_post,db_rms_post,db_maxabs,db_corr_post,db_m_end_mean
0,0.27766835,0,0.27766835,0.27766835,0.27766835,0.27766835,0.2776683535,0,0,1,1,-0.70844927,-0.4080182,4.4801867,-0.21303489,0.046298198,0.21800777,0.58620456,0.75350844,-0.19691958
0.1,0.27604109,0.00031073331,0.27562919,0.27637569,0.27596455,0.2761193,0.2763347558,0.00026012945,7.654441e-05,1,1,-0.706822,-0.40788108,4.4735933,-0.21316869,0.045389119,0.21794741,0.58457602,0.76063651,-0.19692041
0.2,0.27089696,0.0010831507,0.26954605,0.27235592,0.27090318,0.27147215,0.27237227,0.00097016721,-6.2161256e-06,1,1,-0.70167788,-0.40788331,4.4586107,-0.21317953,0.043769222,0.2176266,0.57955737,0.77346048,-0.19692124
0.3,0.26247194,0.0023129932,0.25962251,0.26570583,0.26264837,0.26372689,0.2658939906,0.0020905811,-0.00017642763,1,1,-0.69325285,-0.40784163,4.4602857,-0.21318359,0.041900791,0.21726279,0.57140344,0.78991564,-0.19692207
0.5,0.23710487,0.0058951413,0.22996091,0.24538351,0.23765533,0.23894208,0.2461810068,0.0053425989,-0.00055045476,1,1,-0.66788578,-0.40785817,4.4551845,-0.21327896,0.037743279,0.21659408,0.54679339,0.82337833,-0.19692372
0.7,0.20283325,0.0099711349,0.19099506,0.21684096,0.20363049,0.20176485,0.2193176459,0.0093631937,-0.00079724508,1,1,-0.63361416,-0.4078612,4.4750856,-0.2133438,0.033479101,0.21595695,0.51362288,0.85974869,-0.19692532
0.9,0.16383639,0.013051612,0.1475676,0.18229505,0.16426904,0.15219522,0.1880033631,0.013375418,-0.00043264575,1,1,-0.5946173,-0.40788624,4.5117377,-0.21344696,0.029295749,0.21545129,0.47582323,0.88936978,-0.19692683
1.1,0.12466263,0.01382692,0.10507482,0.14474649,0.12339555,0.090233181,0.1550710301,0.017020893,0.001267079,1,1,-0.55544354,-0.4078701,4.5988316,-0.21349768,0.02551675,0.21502061,0.43773449,0.91505056,-0.19692844
1.2,0.10634135,0.013253935,0.085705479,0.12569115,0.1035716,0.054605008,0.1388163361,0.018445364,0.0027697517,1,1,-0.53712226,-0.40789284,4.6340409,-0.2135389,0.023806069,0.21486518,0.41987309,0.92558205,-0.19692926
1.3,0.089328225,0.012368537,0.068230215,0.10709586,0.084571758,0.015878733,0.1230746859,0.019677356,0.0047564661,0.875,0.75,-0.52010914,-0.40788919,4.7029586,-0.21356786,0.022230743,0.2147249,0.40337034,0.93466472,-0.19693007
1.4,0.073689755,0.011409043,0.053009246,0.08929307,0.066799942,-0.025945645,0.1080724873,0.020734053,0.0068898133,0.75,0.5,-0.50447067,-0.40787523,4.7888304,-0.21356972,0.020774098,0.21458046,0.38835433,0.94202562,-0.19693088
1.5,0.05946004,0.01061547,0.040238907,0.072804326,0.050470056,-0.070868124,0.09398960206,0.02164529,0.0089899839,0.125,0,-0.49024095,-0.40787397,4.8579171,-0.21359448,0.019471824,0.21448265,0.37496316,0.94860721,-0.19693169
1.6,0.046439677,0.0098237307,0.030366886,0.057918869,0.035691759,-0.11888871,0.08095855114,0.022128525,0.010747918,0,0,-0.47722059,-0.40787897,4.9439999,-0.21360199,0.018324176,0.21438862,0.3630372,0.95468419,-0.1969325
1.8,0.023147383,0.0093579285,0.0047602982,0.034102822,0.011264887,-0.22422417,0.05835570474,0.022761058,0.011882496,0,0,-0.4539283,-0.40785062,5.1248655,-0.21359255,0.016333681,0.21421767,0.34318357,0.96337534,-0.19693411
2,0.004593222,0.0085768633,-0.011470389,0.017508828,-0.0065853161,-0.34195205,0.04047407386,0.02247351,0.011178538,0,0,-0.43537414,-0.40787839,6.8807659,-0.21361206,0.0147606,0.21412251,0.32657585,0.96981968,-0.19693565
2.5,-0.010029452,0.0046003681,-0.016224599,-0.00017925101,-0.023008498,-0.69048853,0.01370030847,0.00057055989,0.012979047,0,0,-0.42075146,-0.40790883,15.393295,-0.21357564,0.012052172,0.21391634,0.29195497,0.98037734,-0.19693948
3,-0.0092329864,0.0037477072,-0.014897433,-0.0051611241,-0.02301006,-1.1164776,0.003645357184,0.00061440189,0.013777073,0,0,-0.42154793,-0.40784537,15.501067,-0.21347853,0.010360229,0.21373042,0.28000185,0.98613283,-0.1969434
