node_index,c_w,c_a,c,loss,selected
0,0.2,0.05,0.42,,0
1,0.2,0.05,0.5,,0
2,0.2,0.05,0.65,,0
3,0.2,0.05,0.85,,0
4,0.2,0.05,1.2,,0
5,0.2,0.05,2,,0
6,0.2,0.05,4,,0
7,0.2,0.13572088083,0.42,,0
8,0.2,0.13572088083,0.5,,0
9,0.2,0.13572088083,0.65,,0
10,0.2,0.13572088083,0.85,,0
11,0.2,0.13572088083,1.2,,0
12,0.2,0.13572088083,2,,0
13,0.2,0.13572088083,4,,0
14,0.2,0.368403149864,0.42,,0
15,0.2,0.368403149864,0.5,,0
16,0.2,0.368403149864,0.65,,0
17,0.2,0.368403149864,0.85,,0
18,0.2,0.368403149864,1.2,,0
19,0.2,0.368403149864,2,,0
20,0.2,0.368403149864,4,,0
21,0.2,1,0.42,,0
22,0.2,1,0.5,,0
23,0.2,1,0.65,,0
24,0.2,1,0.85,,0
25,0.2,1,1.2,,0
26,0.2,1,2,,0
27,0.2,1,4,,0
28,0.2,2.71441761659,0.42,,0
29,0.2,2.71441761659,0.5,,0
30,0.2,2.71441761659,0.65,,0
31,0.2,2.71441761659,0.85,,0
32,0.2,2.71441761659,1.2,,0
33,0.2,2.71441761659,2,,0
34,0.2,2.71441761659,4,,0
35,0.2,7.36806299728,0.42,,0
36,0.2,7.36806299728,0.5,,0
37,0.2,7.36806299728,0.65,,0
38,0.2,7.36806299728,0.85,,0
39,0.2,7.36806299728,1.2,,0
40,0.2,7.36806299728,2,,0
41,0.2,7.36806299728,4,,0
42,0.2,20,0.42,,0
43,0.2,20,0.5,,0
44,0.2,20,0.65,,0
45,0.2,20,0.85,,0
46,0.2,20,1.2,,0
47,0.2,20,2,,0
48,0.2,20,4,,0
49,0.430886938006,0.05,0.42,,0
50,0.430886938006,0.05,0.5,,0
51,0.430886938006,0.05,0.65,,0
52,0.430886938006,0.05,0.85,,0
53,0.430886938006,0.05,1.2,,0
54,0.430886938006,0.05,2,,0
55,0.430886938006,0.05,4,,0
56,0.430886938006,0.13572088083,0.42,,0
57,0.430886938006,0.13572088083,0.5,,0
58,0.430886938006,0.13572088083,0.65,,0
59,0.430886938006,0.13572088083,0.85,,0
60,0.430886938006,0.13572088083,1.2,,0
61,0.430886938006,0.13572088083,2,,0
62,0.430886938006,0.13572088083,4,,0
63,0.430886938006,0.368403149864,0.42,,0
64,0.430886938006,0.368403149864,0.5,,0
65,0.430886938006,0.368403149864,0.65,,0
66,0.430886938006,0.368403149864,0.85,,0
67,0.430886938006,0.368403149864,1.2,,0
68,0.430886938006,0.368403149864,2,,0
69,0.430886938006,0.368403149864,4,,0
70,0.430886938006,1,0.42,,0
71,0.430886938006,1,0.5,,0
72,0.430886938006,1,0.65,,0
73,0.430886938006,1,0.85,,0
74,0.430886938006,1,1.2,,0
75,0.430886938006,1,2,,0
76,0.430886938006,1,4,,0
77,0.430886938006,2.71441761659,0.42,,0
78,0.430886938006,2.71441761659,0.5,,0
79,0.430886938006,2.71441761659,0.65,,0
80,0.430886938006,2.71441761659,0.85,,0
