node_index,c_k,c_beta,loss,selected
0,0.02,0.05,,0
1,0.02,0.0910282101513,,0
2,0.02,0.165722700867,,0
3,0.02,0.301708816827,,0
4,0.02,0.549280271653,,0
5,0.02,1,,0
6,0.02,1.82056420303,,0
7,0.02,3.31445401734,,0
8,0.02,6.03417633655,,0
9,0.02,10.9856054331,,0
10,0.02,20,,0
11,0.0399052462994,0.05,,0
12,0.0399052462994,0.0910282101513,,0
13,0.0399052462994,0.165722700867,,0
14,0.0399052462994,0.301708816827,,0
15,0.0399052462994,0.549280271653,,0
16,0.0399052462994,1,,0
17,0.0399052462994,1.82056420303,,0
18,0.0399052462994,3.31445401734,,0
19,0.0399052462994,6.03417633655,,0
20,0.0399052462994,10.9856054331,,0
21,0.0399052462994,20,,0
22,0.0796214341107,0.05,,0
23,0.0796214341107,0.0910282101513,,0
24,0.0796214341107,0.165722700867,,0
25,0.0796214341107,0.301708816827,,0
26,0.0796214341107,0.549280271653,,0
27,0.0796214341107,1,,0
28,0.0796214341107,1.82056420303,,0
29,0.0796214341107,3.31445401734,,0
30,0.0796214341107,6.03417633655,,0
31,0.0796214341107,10.9856054331,,0
32,0.0796214341107,20,,0
33,0.158865646945,0.05,,0
34,0.158865646945,0.0910282101513,,0
35,0.158865646945,0.165722700867,,0
36,0.158865646945,0.301708816827,,0
37,0.158865646945,0.549280271653,,0
38,0.158865646945,1,,0
39,0.158865646945,1.82056420303,,0
40,0.158865646945,3.31445401734,549.9300,1
41,0.158865646945,6.03417633655,,0
42,0.158865646945,10.9856054331,,0
43,0.158865646945,20,,0
44,0.316978638492,0.05,,0
45,0.316978638492,0.0910282101513,,0
46,0.316978638492,0.165722700867,,0
47,0.316978638492,0.301708816827,,0
48,0.316978638492,0.549280271653,,0
49,0.316978638492,1,,0
50,0.316978638492,1.82056420303,,0
51,0.316978638492,3.31445401734,,0
52,0.316978638492,6.03417633655,,0
53,0.316978638492,10.9856054331,,0
54,0.316978638492,20,,0
55,0.632455532034,0.05,,0
56,0.632455532034,0.0910282101513,,0
57,0.632455532034,0.165722700867,,0
58,0.632455532034,0.301708816827,,0
59,0.632455532034,0.549280271653,,0
60,0.632455532034,1,,0
61,0.632455532034,1.82056420303,,0
62,0.632455532034,3.31445401734,,0
63,0.632455532034,6.03417633655,,0
64,0.632455532034,10.9856054331,,0
65,0.632455532034,20,,0
66,1.26191468896,0.05,,0
67,1.26191468896,0.0910282101513,,0
68,1.26191468896,0.165722700867,,0
69,1.26191468896,0.301708816827,,0
70,1.26191468896,0.549280271653,,0
71,1.26191468896,1,,0
72,1.26191468896,1.82056420303,,0
73,1.26191468896,3.31445401734,,0
74,1.26191468896,6.03417633655,,0
75,1.26191468896,10.9856054331,,0
76,1.26191468896,20,,0
77,2.51785082359,0.05,,0
78,2.51785082359,0.0910282101513,,0
79,2.51785082359,0.165722700867,,0
80,2.51785082359,0.301708816827,,0
81,2.51785082359,0.549280271653,,0
82,2.51785082359,1,,0
83,2.51785082359,1.82056420303,,0
84,2.51785082359,3.31445401734,,0
85,2.51785082359,6.03417633655,,0
86,2.51785082359,10.9856054331,,0
87,2.51785082359,20,,0
88,5.02377286302,0.05,,0
89,5.02377286302,0.0910282101513,,0
90,5.02377286302,0.165722700867,,0
91,5.02377286302,0.301708816827,,0
92,5.02377286302,0.549280271653,,0
93,5.02377286302,1,,0
94,5.02377286302,1.82056420303,,0
95,5.02377286302,3.31445401734,,0
96,5.02377286302,6.03417633655,,0
97,5.02377286302,10.9856054331,,0
98,5.02377286302,20,,0
99,10.0237446725,0.05,,0
100,10.0237446725,0.0910282101513,,0
101,10.0237446725,0.165722700867,,0
102,10.0237446725,0.301708816827,,0
103,10.0237446725,0.549280271653,,0
104,10.0237446725,1,,0
105,10.0237446725,1.82056420303,,0
106,10.0237446725,3.31445401734,,0
107,10.0237446725,6.03417633655,,0
108,10.0237446725,10.9856054331,,0
109,10.0237446725,20,,0
110,20,0.05,,0
111,20,0.0910282101513,,0
112,20,0.165722700867,,0
113,20,0.301708816827,,0
114,20,0.549280271653,,0
115,20,1,,0
116,20,1.82056420303,,0
117,20,3.31445401734,,0
118,20,6.03417633655,,0
119,20,10.9856054331,,0
120,20,20,,0
