sd_over_Delta,n_draws,k_crossed_event,frac_event,wilson_lo,wilson_hi,frac_24000_scan,frac_1200_scan,n_discordant_event_vs_24000,t_cross_first_mean,t_cross_first_sd,n_downward_crossings_mean,n_downward_crossings_max,m_min_sampled_mean,m_at_first_root_maxdev
0,256,256,1,0.9852161436,1,1,1,0,64.65174912,1.423869187e-14,5,5,-0.7084492668,2.664535259e-15
0.1,256,256,1,0.9852161436,1,1,1,0,64.70254613,0.008693940187,4,4,-0.7068936158,1.887379142e-14
0.2,256,256,1,0.9852161436,1,1,1,0,64.75426806,0.01746469435,3.06640625,4,-0.7018675629,1.670885652e-14
0.3,256,256,1,0.9852161436,1,1,1,0,64.80706212,0.02635328991,2.83984375,3,-0.6936484135,1.620925616e-14
0.5,256,256,1,0.9852161436,1,1,1,0,64.91646136,0.04460786395,1.97265625,2,-0.6686824442,1.920685833e-14
0.7,256,256,1,0.9852161436,1,1,1,0,65.03266806,0.06376571675,1.00390625,2,-0.6347644132,1.770805724e-14
0.9,256,256,1,0.9852161436,1,1,1,0,65.159257,0.08408657924,1,1,-0.5955465213,1.521005544e-14
1.1,256,256,1,0.9852161436,1,1,0.99609375,0,65.30385572,0.1061198685,1,1,-0.5549350054,1.088018564e-14
1.2,256,245,0.95703125,0.9247089445,0.9758401867,0.96875,0.890625,3,65.38536035,0.1193160746,0.95703125,1,-0.5352363574,1.015854068e-14
1.25,256,234,0.9140625,0.8733176979,0.942564421,0.91796875,0.7734375,1,65.42773424,0.1250554208,0.9140625,1,-0.5257170886,9.714451465e-15
1.3,256,199,0.77734375,0.7224930899,0.8239939897,0.796875,0.6171875,5,65.46128349,0.1286122814,0.77734375,1,-0.5164796705,7.160938509e-15
1.35,256,163,0.63671875,0.5761850475,0.6932099917,0.6640625,0.48046875,7,65.49924186,0.1326450792,0.63671875,1,-0.5075672505,6.994405055e-15
1.4,256,116,0.453125,0.3932873375,0.514348649,0.4921875,0.26953125,10,65.54739216,0.1402473643,0.453125,1,-0.4990106492,4.773959006e-15
1.45,256,80,0.3125,0.2588458888,0.3716980574,0.32421875,0.1640625,3,65.57662733,0.1338404628,0.3125,1,-0.4909026297,7.105427358e-15
1.5,256,52,0.203125,0.1583992413,0.2566286734,0.22265625,0.109375,5,65.6254447,0.1348379402,0.203125,1,-0.4832600589,4.662936703e-15
1.55,256,26,0.1015625,0.07025498422,0.1446509014,0.1328125,0.0703125,8,65.6396356,0.1056936889,0.1015625,1,-0.4760407487,3.219646771e-15
1.6,256,16,0.0625,0.03883364113,0.09910223324,0.06640625,0.03515625,1,65.68367586,0.1201678755,0.0625,1,-0.4693292009,3.386180225e-15
1.8,256,0,0,0,0.01478385643,0.00390625,0.00390625,1,,,0,0,-0.44828026,
2,256,0,0,0,0.01478385643,0,0,0,,,0,0,-0.436479091,
2.5,256,0,0,0,0.01478385643,0,0,0,,,0,0,-0.4265642171,
3,256,0,0,0,0.01478385643,0,0,0,,,0,0,-0.4246346017,
