sd_over_Delta,n_draws,k_defined_24000,frac_defined_24000,wilson_lo_24000,wilson_hi_24000,k_defined_1200,frac_defined_1200,wilson_lo_1200,wilson_hi_1200,U_mean,U_sd,U_pred_convolution,resid_meas_minus_conv,sd_finiteN_pred,U_mean_1200,m_end_mean,m_end_sd,db_gap_min_all,db_gap_min_resolvable,db_viol_all,db_viol_resolvable,db_dy_max,db_m_end_mean
0,256,256,1,0.9852161436,1,256,1,0.9852161436,1,0.2776683535,5.561989012e-17,0.2776683312,2.232573176e-08,0,0.2722720477,-0.408018201,1.112397802e-16,0,5.551115123e-16,100966400,0,2.230446938e-10,-0.1969195792
0.1,256,256,1,0.9852161436,1,256,1,0.9852161436,1,0.2761127025,0.0002368315544,0.275965124,0.0001475784708,0.0002600456911,0.2707369351,-0.4078742518,4.301369385e-05,0,3.330669074e-16,101591734,0,1.102007374e-12,-0.1969203508
0.2,256,256,1,0.9852161436,1,256,1,0.9852161436,1,0.2710866496,0.0009070723759,0.2709054843,0.0001811652753,0.0009698465493,0.2656552802,-0.4078710573,4.292746146e-05,0,3.330669074e-16,102106842,0,1.208588785e-12,-0.1969211339
0.3,256,256,1,0.9852161436,1,256,1,0.9852161436,1,0.2628675002,0.002013213714,0.2626533889,0.0002141112767,0.002089903029,0.2571780656,-0.4078712786,4.516491179e-05,-1.110223025e-16,3.330669074e-16,102653943,0,1.310729303e-12,-0.196921908
0.5,256,256,1,0.9852161436,1,256,1,0.9852161436,1,0.2379015309,0.005157894574,0.2376682428,0.0002332880407,0.005340983411,0.2309764073,-0.4078691416,4.080996517e-05,-1.110223025e-16,3.330669074e-16,103311010,0,1.587618925e-12,-0.1969234507
0.7,256,256,1,0.9852161436,1,256,1,0.9852161436,1,0.2039834999,0.008984181315,0.2036529912,0.0003305087615,0.009360688779,0.1951710466,-0.4078652781,4.230842986e-05,-2.220446049e-16,3.330669074e-16,103940387,0,1.808997396e-12,-0.196924959
0.9,256,256,1,0.9852161436,1,256,1,0.9852161436,1,0.164765608,0.01281334322,0.1643004547,0.00046515332,0.01337242721,0.1537878741,-0.4078688493,4.291090121e-05,-2.220446049e-16,3.330669074e-16,104772934,0,2.240652108e-12,-0.1969263571
1.1,256,256,1,0.9852161436,1,255,0.99609375,0.9782090246,0.9993101178,0.1241540921,0.01620944964,0.1234340069,0.0007200851486,0.01701766287,0.1127234493,-0.407875939,3.892317924e-05,-2.220446049e-16,3.330669074e-16,105601862,0,2.655653475e-12,-0.1969278466
1.2,256,248,0.96875,0.9395583935,0.9840817411,228,0.890625,0.8464641652,0.9232359469,0.1044554441,0.01769585357,0.1036117243,0.0008437197651,0.01844221344,0.09330716092,-0.4078735971,4.08538964e-05,-2.220446049e-16,3.330669074e-16,105952137,0,2.903899343e-12,-0.1969286081
1.25,256,235,0.91796875,0.8778567119,0.9457224081,198,0.7734375,0.7183367859,0.8204532926,0.09493617524,0.01835854261,0.0939614094,0.0009747658396,0.01919410687,0.08406225898,-0.4078724912,3.947228741e-05,-2.220446049e-16,3.330669074e-16,106111156,0,2.982725178e-12,-0.1969289878
1.3,256,204,0.796875,0.7433713266,0.8416007587,158,0.6171875,0.5563285402,0.6745814934,0.08569875722,0.01897115001,0.08461258262,0.001086174597,0.01967429961,0.07519851664,-0.407872668,3.97960075e-05,-2.220446049e-16,3.330669074e-16,106254488,0,3.022915251e-12,-0.1969293674
1.35,256,170,0.6640625,0.6041573114,0.7191167357,123,0.48046875,0.4200087697,0.5415062247,0.07678633721,0.01950979378,0.07556811067,0.001218226546,0.02034982878,0.06680031432,-0.4078772467,4.174751413e-05,-2.220446049e-16,3.330669074e-16,106386898,0,3.22630811e-12,-0.1969297464
1.4,256,126,0.4921875,0.4315158694,0.5530901284,69,0.26953125,0.2188800151,0.3269969187,0.06822973587,0.01996256814,0.06684071333,0.001389022539,0.02073106893,0.05880289811,-0.4078689589,3.991863865e-05,-2.220446049e-16,3.330669074e-16,106519121,0,3.4283687e-12,-0.1969301262
1.45,256,83,0.32421875,0.2698445831,0.3837903665,42,0.1640625,0.1237276012,0.2143303023,0.06012171636,0.02019386546,0.05846038723,0.00166132913,0.02134615742,0.05128102489,-0.4078688512,4.000107751e-05,-2.220446049e-16,3.330669074e-16,106632030,0,3.600231224e-12,-0.196930504
1.5,256,57,0.22265625,0.1760060103,0.2775069101,28,0.109375,0.07676405307,0.1535358348,0.05247914562,0.02028959322,0.05051028885,0.001968856774,0.02164233665,0.04417288715,-0.4078703971,4.308718416e-05,-2.220446049e-16,3.330669074e-16,106742365,0,3.73456821e-12,-0.1969308822
1.55,256,34,0.1328125,0.09662155084,0.1798603437,18,0.0703125,0.04493554746,0.1083943292,0.04525983542,0.02040946327,0.04291847563,0.002341359788,0.02190111864,0.03755096659,-0.4078659646,3.92991407e-05,-2.220446049e-16,3.330669074e-16,106841008,0,3.824052186e-12,-0.1969312593
1.6,256,17,0.06640625,0.04187072286,0.1037621526,9,0.03515625,0.01860409609,0.06545277043,0.03854828754,0.02041581667,0.03572937444,0.002818913098,0.02212570924,0.03133262723,-0.4078679835,3.949456536e-05,-2.220446049e-16,3.330669074e-16,106934341,0,3.905098467e-12,-0.1969316364
1.8,256,1,0.00390625,0.000689882167,0.02179097538,1,0.00390625,0.000689882167,0.02179097538,0.01749934666,0.01868837548,0.01129714422,0.006202202442,0.02275831691,0.01212344056,-0.4078670935,3.835051574e-05,-2.220446049e-16,3.330669074e-16,107236948,0,4.761746553e-12,-0.1969331225
2,256,0,0,0,0.01478385643,0,0,0,0.01478385643,0.005698177642,0.0147868621,-0.006560753958,0.0122589316,0.02247086815,0.001439714717,-0.4078642114,3.994573456e-05,-2.220446049e-16,3.330669074e-16,107464502,0,5.678790771e-12,-0.1969345843
2.5,256,0,0,0,0.01478385643,0,0,0,0.01478385643,-0.004216696219,0.008278615231,-0.02300850004,0.01879180382,0.0005705594223,-0.008128665748,-0.4078727226,3.890564774e-05,-2.220446049e-16,3.330669074e-16,107833848,0,8.518741268e-12,-0.1969381603
