sd_over_Delta,draw,focal_m_min,focal_m_end,U_undershoot,eps_at_min,T4_defined,U_at_frozen_lattice,db_m_min,db_m_end,db_offset_post,db_shape_post,db_rms_post,db_maxabs,db_corr_post,db_monotonicity_violation
0,0,-0.70844927,-0.4080182,0.27766835,4.4801867,1,0.27227205,-0.19691958,-0.19691958,-0.21303489,0.046298198,0.21800777,0.58620456,0.75350844,3.892712e-09
0,1,-0.70844927,-0.4080182,0.27766835,4.4801867,1,0.27227205,-0.19691958,-0.19691958,-0.21303489,0.046298198,0.21800777,0.58620456,0.75350844,3.892712e-09
0,2,-0.70844927,-0.4080182,0.27766835,4.4801867,1,0.27227205,-0.19691958,-0.19691958,-0.21303489,0.046298198,0.21800777,0.58620456,0.75350844,3.892712e-09
0,3,-0.70844927,-0.4080182,0.27766835,4.4801867,1,0.27227205,-0.19691958,-0.19691958,-0.21303489,0.046298198,0.21800777,0.58620456,0.75350844,3.892712e-09
0,4,-0.70844927,-0.4080182,0.27766835,4.4801867,1,0.27227205,-0.19691958,-0.19691958,-0.21303489,0.046298198,0.21800777,0.58620456,0.75350844,3.892712e-09
0,5,-0.70844927,-0.4080182,0.27766835,4.4801867,1,0.27227205,-0.19691958,-0.19691958,-0.21303489,0.046298198,0.21800777,0.58620456,0.75350844,3.892712e-09
0,6,-0.70844927,-0.4080182,0.27766835,4.4801867,1,0.27227205,-0.19691958,-0.19691958,-0.21303489,0.046298198,0.21800777,0.58620456,0.75350844,3.892712e-09
0,7,-0.70844927,-0.4080182,0.27766835,4.4801867,1,0.27227205,-0.19691958,-0.19691958,-0.21303489,0.046298198,0.21800777,0.58620456,0.75350844,3.892712e-09
0.1,0,-0.70709565,-0.40787451,0.27631474,4.4640957,1,0.27315006,-0.19692051,-0.19692051,-0.21319462,0.045363732,0.21796746,0.58477414,0.75333299,1.8893775e-12
0.1,1,-0.70712905,-0.40788261,0.27634813,4.4807082,1,0.27334968,-0.19692051,-0.19692051,-0.21317979,0.045518021,0.21798512,0.58482601,0.76402852,1.9099167e-12
0.1,2,-0.70654769,-0.40790356,0.27576678,4.4919371,1,0.27056468,-0.19692035,-0.19692035,-0.21317274,0.045312851,0.21793548,0.58436342,0.76180985,1.8041124e-12
0.1,3,-0.7064101,-0.40781951,0.27562919,4.4741588,1,0.2704405,-0.19692047,-0.19692047,-0.21314473,0.045271981,0.21789958,0.58422955,0.76219452,1.6401325e-12
